ABMI.Site,day,month,year,Days.Since.Snow,Snow.Conditions,Temperature..Degrees.Celsius.,mean.snow.depth
825,6,Mar,2008,3,Powder,-20,55
826,15,Dec,2012,3,Powder,2,29.333333333333332
827,15,Dec,2012,3,Powder,-15,28.166666666666668
828,16,Dec,2012,4,Powder,-12,31.5
829,17,Dec,2012,5,Powder,-11,21.5
834,7,Dec,2013,5,Powder,-10,24.333333333333332
835,7,Dec,2013,5,Crust,-16,28.666666666666668
855,7,Mar,2008,4,Crust,0,38.833333333333336
856,6,Mar,2008,3,Powder,-7,44.166666666666664
857,6,Mar,2008,3,Powder,-11,39.166666666666664
858,7,Dec,2012,3,Powder,-17,21.166666666666668
859,28,Jan,2013,4,Powder,-10,43.5
860,16,Dec,2012,4,Powder,-10,31.333333333333332
861,17,Dec,2012,5,Powder,-11,14.666666666666666
866,12,Feb,2009,5,Crust,-15,25
867,12,Feb,2009,5,Powder,-11,36.166666666666664
868,13,Feb,2009,4,Powder,-15,47.666666666666664
876,20,Mar,2012,3,Powder,-9,39.333333333333336
877,21,Feb,2011,4,Powder,-2,73.83333333333333
881,6,Jan,2010,3,Powder,-19,20.333333333333332
882,8,Jan,2010,5,Powder,-14,24.166666666666668
883,7,Jan,2010,4,Powder,-20,22.166666666666668
890,6,Jan,2011,5,Powder,-2,26.5
891,28,Jan,2011,5,Crust,-9,38.5
892,28,Jan,2011,5,Crust,-8,33.166666666666664
899,12,Feb,2009,5,Crust,-20,28.166666666666668
900,12,Feb,2009,5,Powder,-22,48.5
901,13,Feb,2009,4,Crust,-8,42.666666666666664
908,20,Mar,2012,3,Powder,-4,35.333333333333336
909,9,Feb,2011,3,Powder,-5,69.33333333333333
910,4,Jan,2011,3,Powder,-6,34.833333333333336
914,7,Jan,2010,4,Powder,-26,16.5
915,7,Jan,2010,4,Powder,-20,31.5
916,7,Jan,2010,4,Powder,-25,25.666666666666668
923,2,Feb,2011,3,Crust,-1,43.833333333333336
924,28,Jan,2011,5,Crust,-11,41.666666666666664
925,2,Feb,2011,3,Crust,3,34.833333333333336
932,12,Feb,2009,5,Powder,-22,54.5
933,13,Feb,2009,6,Powder,-14,52.666666666666664
934,12,Feb,2009,3,Powder,-15,48.333333333333336
941,14,Mar,2011,3,Powder,-1,74.83333333333333
942,14,Mar,2011,3,Powder,-3,93.5
943,20,Feb,2011,3,Powder,-6,64
947,6,Jan,2010,3,Powder,-22,22.333333333333332
948,7,Jan,2010,4,Powder,-21,18.666666666666668
949,6,Jan,2010,3,Powder,-26,53.833333333333336
956,15,Feb,2014,3,Powder,-16,9.333333333333334
957,2,Feb,2011,3,Crust,2,22.166666666666668
958,21,Feb,2011,4,Crust,-19,29.333333333333332
962,17,Mar,2011,6,Powder,-12,77.83333333333333
963,16,Mar,2011,5,Powder,-10,54.333333333333336
964,16,Mar,2011,5,Powder,-10,60.333333333333336
968,10,Feb,2011,3,Wet,2,40.333333333333336
969,10,Feb,2011,3,Powder,1,56.333333333333336
970,11,Feb,2011,4,Wet,5,32
974,9,Feb,2009,3,Powder,-4,60.5
974,9,Feb,2009,3,Powder,-4,60.5
975,12,Feb,2009,6,Powder,-12,58.833333333333336
975,12,Feb,2009,6,Powder,-12,58.833333333333336
976,10,Feb,2009,4,Powder,-7,59.333333333333336
976,10,Feb,2009,4,Powder,-7,59.333333333333336
983,25,Jan,2012,4,Powder,-5,22.833333333333332
984,25,Jan,2012,4,Crust,2,15.5
985,9,Mar,2012,3,Powder,2,15.833333333333334
